frequent-itemsets,	support
['semi-finished bread'],	0.017691916624300967
['margarine'],	0.05856634468734113
['citrus fruit'],	0.08276563294356888
['tropical fruit'],	0.10493136756481952
['yogurt'],	0.13950177935943062
['coffee'],	0.05805795627859685
['whole milk'],	0.25551601423487547
['cream cheese '],	0.03965429588205389
['pip fruit'],	0.07564819522114896
['condensed milk'],	0.010269445856634469
['other vegetables'],	0.1934926283680732
['long life bakery product'],	0.037417386883579054
['rice'],	0.007625826131164209
['butter'],	0.05541433655312659
['rolls/buns'],	0.18393492628368074
['UHT-milk'],	0.03345195729537367
['liquor (appetizer)'],	0.007930859176410779
['bottled beer'],	0.08052872394509406
['pot plants'],	0.01728520589730554
['cereals'],	0.0056939501779359435
['white bread'],	0.042094560244026434
['chocolate'],	0.04961870869344179
['bottled water'],	0.11052364006100661
['flour'],	0.017386883579054397
['curd'],	0.05327910523640061
['dishes'],	0.01759023894255211
['beef'],	0.05246568378240976
['soda'],	0.17437722419928825
['frankfurter'],	0.058973055414336555
['chicken'],	0.04290798169801729
['newspapers'],	0.07981698017285206
['sugar'],	0.03385866802236909
['fruit/vegetable juice'],	0.0722928317234367
['packaged fruit/vegetables'],	0.013014743263853584
['specialty bar'],	0.027351296390442297
['pastry'],	0.08896797153024912
['butter milk'],	0.027961362480935434
['processed cheese'],	0.016573462125063547
['detergent'],	0.019217081850533807
['candy'],	0.0298932384341637
['waffles'],	0.038434163701067614
['root vegetables'],	0.10899847483477376
['sweet spreads'],	0.009049313675648195
['salty snack'],	0.03782409761057448
['frozen dessert'],	0.010777834265378749
['canned beer'],	0.07768174885612608
['sausage'],	0.09395017793594305
['brown bread'],	0.06487036095577021
['shopping bags'],	0.09852567361464158
['beverages'],	0.026029486527707167
['hygiene articles'],	0.03294356888662939
['spices'],	0.005185561769191663
['napkins'],	0.05236400610066091
['hamburger meat'],	0.033248601931875954
['berries'],	0.033248601931875954
['pork'],	0.05765124555160142
['whipped/sour cream'],	0.07168276563294357
['grapes'],	0.022369089984748347
['dessert'],	0.03711235383833249
['zwieback'],	0.006914082358922217
['domestic eggs'],	0.06344687341128623
['spread cheese'],	0.011184544992374174
['misc. beverages'],	0.02836807320793086
['hard cheese'],	0.024504321301474327
['cat food'],	0.023284189120488054
['ham'],	0.026029486527707167
['turkey'],	0.00813421453990849
['baking powder'],	0.017691916624300967
['pickled vegetables'],	0.017895271987798677
['chocolate marshmallow'],	0.009049313675648195
['oil'],	0.02806304016268429
['chewing gum'],	0.021047280122013217
['ice cream'],	0.025012709710218607
['canned fish'],	0.015048296898830707
['frozen vegetables'],	0.04809354346720895
['seasonal products'],	0.014234875444839857
['curd cheese'],	0.005083884087442806
['red/blush wine'],	0.019217081850533807
['frozen potato products'],	0.008439247585155059
['flower (seeds)'],	0.010371123538383325
['candles'],	0.008947635993899338
['specialty chocolate'],	0.03040162684290798
['sparkling wine'],	0.005592272496187087
['salt'],	0.010777834265378749
['frozen meals'],	0.02836807320793086
['canned vegetables'],	0.010777834265378749
['onions'],	0.031011692933401117
['white wine'],	0.019013726487036097
['herbs'],	0.01626842907981698
['photo/film'],	0.009252669039145907
['sliced cheese'],	0.024504321301474327
['pasta'],	0.015048296898830707
['softener'],	0.005490594814438231
['cling film/bags'],	0.011387900355871887
['Instant food products'],	0.008032536858159633
['soft cheese'],	0.01708185053380783
['dental care'],	0.005795627859684799
['popcorn'],	0.007219115404168785
['cake bar'],	0.013218098627351297
['specialty cheese'],	0.008540925266903915
['finished products'],	0.006507371631926792
['dog food'],	0.008540925266903915
['frozen fish'],	0.011692933401118455
['cleaner'],	0.005083884087442806
['female sanitary products'],	0.006100660904931368
['dish cleaner'],	0.01047280122013218
['meat'],	0.025826131164209457
['mustard'],	0.011997966446365024
['house keeping products'],	0.008337569903406202
['liquor'],	0.011082867310625319
['pet care'],	0.00945602440264362
['soups'],	0.00681240467717336
['sauces'],	0.005490594814438231
['vinegar'],	0.006507371631926792
['instant coffee'],	0.007422470767666497
['roll products '],	0.010269445856634469
['mayonnaise'],	0.009150991357397052
['liver loaf'],	0.005083884087442806
['kitchen towels'],	0.005998983223182512
['jam'],	0.005388917132689374
total:120
